id,Time,Source,Destination,Sport,Dport,Protocal
60,Sun May 30 08:06:27 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50776,443,TCP
61,Sun May 30 08:06:28 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50776,443,TCP
62,Sun May 30 08:06:31 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,50776,443,TCP
63,Sun May 30 08:06:32 2021,70:66:55:27:01:7f,01:00:5e:7f:ff:fa,56829,1900,UDP
64,Sun May 30 08:06:33 2021,70:66:55:27:01:7f,01:00:5e:7f:ff:fa,56829,1900,UDP
65,Sun May 30 08:06:33 2021,14:14:4b:81:93:cb,70:66:55:27:01:7f,443,52560,TCP
66,Sun May 30 08:06:33 2021,14:14:4b:81:93:cb,70:66:55:27:01:7f,443,52560,TCP
67,Sun May 30 08:06:33 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,52560,443,TCP
68,Sun May 30 08:06:33 2021,70:66:55:27:01:7f,14:14:4b:81:93:cb,52560,443,TCP
69,Sun May 30 08:06:33 2021,14:14:4b:81:93:cb,70:66:55:27:01:7f,443,52560,TCP
70,Sun May 30 08:06:34 2021,70:66:55:27:01:7f,01:00:5e:7f:ff:fa,56829,1900,UDP
71,Sun May 30 08:06:35 2021,70:66:55:27:01:7f,01:00:5e:7f:ff:fa,56829,1900,UDP
