id,Time,Source,Destination,Sport,Dport,Protocal
301,Sun May 30 10:21:19 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50557,80,TCP
302,Sun May 30 10:21:19 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50557,80,TCP
303,Sun May 30 10:21:19 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50557,80,TCP
304,Sun May 30 10:21:19 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,50557,TCP
305,Sun May 30 10:21:19 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,50557,TCP
306,Sun May 30 10:21:19 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,50557,TCP
307,Sun May 30 10:21:19 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,50557,TCP
308,Sun May 30 10:21:19 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50557,80,TCP
309,Sun May 30 10:21:19 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50557,80,TCP
310,Sun May 30 10:21:19 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,50557,TCP
311,Sun May 30 10:21:19 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,50557,TCP
312,Sun May 30 10:21:19 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50557,80,TCP
313,Sun May 30 10:21:19 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50557,80,TCP
314,Sun May 30 10:21:19 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,50557,TCP
315,Sun May 30 10:21:19 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,50557,TCP
316,Sun May 30 10:21:19 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50557,80,TCP
317,Sun May 30 10:21:20 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51109,27018,UDP
318,Sun May 30 10:21:20 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,27018,51109,UDP
319,Sun May 30 10:21:29 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51109,27018,UDP
320,Sun May 30 10:21:36 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51532,443,TCP
321,Sun May 30 10:21:38 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51109,27018,UDP
322,Sun May 30 10:23:24 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50531,443,TCP
323,Sun May 30 10:23:26 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51109,27018,UDP
324,Sun May 30 10:23:26 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,60310,53,UDP
325,Sun May 30 10:23:26 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,60310,53,UDP
326,Sun May 30 10:23:26 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,53,60310,UDP
327,Sun May 30 10:23:26 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,53,60310,UDP
328,Sun May 30 10:23:26 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50563,443,TCP
329,Sun May 30 10:23:26 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,443,50563,TCP
330,Sun May 30 10:23:26 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50563,443,TCP
331,Sun May 30 10:23:26 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50563,443,TCP
332,Sun May 30 10:23:27 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,443,50563,TCP
333,Sun May 30 10:23:27 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,443,50563,TCP
334,Sun May 30 10:23:27 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,443,50563,TCP
335,Sun May 30 10:23:27 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50563,443,TCP
336,Sun May 30 10:23:27 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,443,50563,TCP
337,Sun May 30 10:23:27 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,443,50563,TCP
338,Sun May 30 10:23:27 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50563,443,TCP
339,Sun May 30 10:23:27 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,443,50563,TCP
340,Sun May 30 10:23:27 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,443,50563,TCP
341,Sun May 30 10:23:27 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50563,443,TCP
342,Sun May 30 10:23:27 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50563,443,TCP
343,Sun May 30 10:23:27 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,443,50563,TCP
344,Sun May 30 10:23:27 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50563,443,TCP
345,Sun May 30 10:23:27 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50563,443,TCP
346,Sun May 30 10:23:27 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,443,50563,TCP
347,Sun May 30 10:23:27 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,443,50563,TCP
348,Sun May 30 10:23:27 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,443,50563,TCP
349,Sun May 30 10:23:27 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50563,443,TCP
350,Sun May 30 10:23:27 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,443,50563,TCP
351,Sun May 30 10:23:27 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50563,443,TCP
352,Sun May 30 10:23:28 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50563,443,TCP
353,Sun May 30 10:23:28 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,443,50563,TCP
354,Sun May 30 10:23:28 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,443,50563,TCP
355,Sun May 30 10:23:28 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50563,443,TCP
356,Sun May 30 10:23:29 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,59856,443,TCP
357,Sun May 30 10:25:41 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51109,27018,UDP
358,Sun May 30 10:25:46 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,27018,51109,UDP
359,Sun May 30 10:25:47 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51109,27018,UDP
360,Sun May 30 10:25:48 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50566,80,TCP
361,Sun May 30 10:25:48 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,50566,TCP
362,Sun May 30 10:25:48 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50566,80,TCP
363,Sun May 30 10:25:50 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50564,80,TCP
364,Sun May 30 10:25:50 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,80,50564,TCP
365,Sun May 30 10:25:50 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,50564,80,TCP
366,Sun May 30 10:25:50 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51109,27018,UDP
367,Sun May 30 10:26:59 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,60483,443,TCP
368,Sun May 30 10:26:59 2021,00:10:f3:51:58:53,70:66:55:27:01:7f,443,60483,TCP
369,Sun May 30 10:26:59 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,60483,443,TCP
370,Sun May 30 10:27:03 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51109,27018,UDP
371,Sun May 30 10:27:30 2021,70:66:55:27:01:7f,00:10:f3:51:58:53,51109,27018,UDP
