id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,Source,Destination,Time
15,0.04720592498779297,tcp,-,1.862,3,3,719,273,82410.88,114,128,15231.138891694782,4639.2481464272005,4.7536,6.3085,63.55134447160549,42.36756298107032,6363.075,535.18043,2050,1502955553,3742551226,515,0.05592,0,1622333176.377774,139.5286,116.275,0,1595.37188,0,1.3692,8,0,0,0,0,0,0,0,8,0,13.107.4.52,10.133.144.172,Sun May 30 08:06:16 2021
16,0.047456979751586914,tcp,-,1.862,5,5,779,273,82410.88,114,128,16414.866771498477,5752.5784706278355,4.7536,6.3085,105.35858004812886,105.35858004812886,6363.075,535.18043,2050,1502956092,3742551226,515,0.05592,0,1622333176.377774,139.5286,116.275,0,1595.37188,1,1.3692,17,1,1,1,0,0,0,1,17,0,13.107.4.52,10.133.144.172,Sun May 30 08:06:16 2021
17,9.970140933990479,tcp,-,1.862,1,9,66,498,82410.88,53,128,6.6197660030051315,43.329377474215406,4.7536,6.3085,0.10029948489401715,0.8023958791521372,6363.075,535.18043,8192,0,1474205830,1024,0.05592,0,0,139.5286,116.275,0,1595.37188,21,1.3692,27,21,21,21,0,0,0,21,27,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
18,9.970140933990479,tcp,-,1.862,2,9,132,498,82410.88,53,128,6.6197660030051315,43.329377474215406,4.7536,6.3085,0.10029948489401715,0.8023958791521372,6363.075,535.18043,8192,1895312610,1474205830,1024,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,21,1.3692,27,21,21,21,0,0,0,21,27,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
19,9.970140933990479,tcp,-,1.862,2,10,132,552,82410.88,53,128,6.6197660030051315,43.329377474215406,4.7536,6.3085,0.10029948489401715,0.8023958791521372,6363.075,535.18043,8192,1895312610,1474205831,1024,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,21,1.3692,27,21,21,21,0,0,0,21,27,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
20,10.015919923782349,tcp,-,1.862,2,11,132,606,82410.88,53,128,13.179019102036946,55.11226169942723,4.7536,6.3085,0.1996821076066204,0.998410538033102,6363.075,535.18043,8192,1895312610,1474205831,1024,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,28,1.3692,38,28,28,28,0,0,0,28,38,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
21,10.328576803207397,tcp,-,1.862,2,12,132,660,82410.88,53,128,12.780076337236435,58.6721686391309,4.7536,6.3085,0.1936375202611581,1.0650063614363696,6363.075,535.18043,8192,1895312610,1474205831,1024,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,36,1.3692,50,36,36,36,0,0,0,36,50,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
22,10.928874969482422,tcp,-,1.862,2,13,132,714,82410.88,53,128,12.078095903612608,60.39047951806304,4.7536,6.3085,0.1830014530850395,1.098008718510237,6363.075,535.18043,8192,1895312610,1474205831,1024,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,45,1.3692,63,45,45,45,0,0,0,45,63,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
23,12.128708839416504,tcp,-,1.862,2,14,132,768,82410.88,53,128,10.88326892397809,58.86859099788148,4.7536,6.3085,0.16489801399966802,1.071837090997842,6363.075,535.18043,8192,1895312610,1474205831,1024,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,55,1.3692,77,55,55,55,0,0,0,55,77,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
24,14.538718938827515,tcp,-,1.862,2,15,132,822,82410.88,53,128,9.07920433398551,52.824461579552064,4.7536,6.3085,0.1375637020300835,0.9629459142105845,6363.075,535.18043,8192,1895312610,1474205831,1024,0.05592,0,1622333176.641505,139.5286,116.275,0,1595.37188,66,1.3692,92,66,66,66,0,0,0,66,92,0,36.152.44.96,10.133.144.172,Sun May 30 08:06:06 2021
